2024-04-12 20:05:12 INFO  SparkContext:54 - Added JAR file:/Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/target/assignments-1.0.jar at spark://10.0.0.154:53057/jars/assignments-1.0.jar with timestamp 1712966712790
2024-04-12 20:05:12 INFO  Executor:54 - Starting executor ID driver on host localhost
2024-04-12 20:05:12 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 53058.
2024-04-12 20:05:12 INFO  NettyBlockTransferService:54 - Server created on 10.0.0.154:53058
2024-04-12 20:05:12 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2024-04-12 20:05:12 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, 10.0.0.154, 53058, None)
2024-04-12 20:05:12 INFO  BlockManagerMasterEndpoint:54 - Registering block manager 10.0.0.154:53058 with 366.3 MB RAM, BlockManagerId(driver, 10.0.0.154, 53058, None)
2024-04-12 20:05:12 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, 10.0.0.154, 53058, None)
2024-04-12 20:05:12 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, 10.0.0.154, 53058, None)
2024-04-12 20:05:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5eb97ced{/metrics/json,null,AVAILABLE,@Spark}
2024-04-12 20:05:13 WARN  SparkContext:66 - Using an existing SparkContext; some configuration may not take effect.
2024-04-12 20:05:13 INFO  SharedState:54 - Setting hive.metastore.warehouse.dir ('null') to the value of spark.sql.warehouse.dir ('file:/Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/spark-warehouse/').
2024-04-12 20:05:13 INFO  SharedState:54 - Warehouse path is 'file:/Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/spark-warehouse/'.
2024-04-12 20:05:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@280d9edc{/SQL,null,AVAILABLE,@Spark}
2024-04-12 20:05:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@28fd3dc1{/SQL/json,null,AVAILABLE,@Spark}
2024-04-12 20:05:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@15e0fe05{/SQL/execution,null,AVAILABLE,@Spark}
2024-04-12 20:05:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1128620c{/SQL/execution/json,null,AVAILABLE,@Spark}
2024-04-12 20:05:13 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@bdd2027{/static/sql,null,AVAILABLE,@Spark}
2024-04-12 20:05:13 INFO  StateStoreCoordinatorRef:54 - Registered StateStoreCoordinator endpoint
2024-04-12 20:05:16 INFO  FileSourceStrategy:54 - Pruning directories with: 
2024-04-12 20:05:16 INFO  FileSourceStrategy:54 - Post-Scan Filters: (length(trim(value#0, None)) > 0)
2024-04-12 20:05:16 INFO  FileSourceStrategy:54 - Output Data Schema: struct<value: string>
2024-04-12 20:05:16 INFO  FileSourceScanExec:54 - Pushed Filters: 
2024-04-12 20:05:16 INFO  CodeGenerator:54 - Code generated in 289.762625 ms
2024-04-12 20:05:17 INFO  CodeGenerator:54 - Code generated in 68.53 ms
2024-04-12 20:05:17 INFO  MemoryStore:54 - Block broadcast_0 stored as values in memory (estimated size 277.7 KB, free 366.0 MB)
2024-04-12 20:05:17 INFO  MemoryStore:54 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 23.5 KB, free 366.0 MB)
2024-04-12 20:05:17 INFO  BlockManagerInfo:54 - Added broadcast_0_piece0 in memory on 10.0.0.154:53058 (size: 23.5 KB, free: 366.3 MB)
2024-04-12 20:05:17 INFO  SparkContext:54 - Created broadcast 0 from csv at kmeans.scala:55
2024-04-12 20:05:17 INFO  FileSourceScanExec:54 - Planning scan with bin packing, max size: 57073876 bytes, open cost is considered as scanning 4194304 bytes.
2024-04-12 20:05:17 INFO  SparkContext:54 - Starting job: csv at kmeans.scala:55
2024-04-12 20:05:17 INFO  DAGScheduler:54 - Got job 0 (csv at kmeans.scala:55) with 1 output partitions
2024-04-12 20:05:17 INFO  DAGScheduler:54 - Final stage: ResultStage 0 (csv at kmeans.scala:55)
2024-04-12 20:05:17 INFO  DAGScheduler:54 - Parents of final stage: List()
2024-04-12 20:05:17 INFO  DAGScheduler:54 - Missing parents: List()
2024-04-12 20:05:17 INFO  DAGScheduler:54 - Submitting ResultStage 0 (MapPartitionsRDD[3] at csv at kmeans.scala:55), which has no missing parents
2024-04-12 20:05:17 INFO  MemoryStore:54 - Block broadcast_1 stored as values in memory (estimated size 9.4 KB, free 366.0 MB)
2024-04-12 20:05:17 INFO  MemoryStore:54 - Block broadcast_1_piece0 stored as bytes in memory (estimated size 4.5 KB, free 366.0 MB)
2024-04-12 20:05:17 INFO  BlockManagerInfo:54 - Added broadcast_1_piece0 in memory on 10.0.0.154:53058 (size: 4.5 KB, free: 366.3 MB)
2024-04-12 20:05:17 INFO  SparkContext:54 - Created broadcast 1 from broadcast at DAGScheduler.scala:1039
2024-04-12 20:05:18 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 0 (MapPartitionsRDD[3] at csv at kmeans.scala:55) (first 15 tasks are for partitions Vector(0))
2024-04-12 20:05:18 INFO  TaskSchedulerImpl:54 - Adding task set 0.0 with 1 tasks
2024-04-12 20:05:18 INFO  TaskSetManager:54 - Starting task 0.0 in stage 0.0 (TID 0, localhost, executor driver, partition 0, PROCESS_LOCAL, 8372 bytes)
2024-04-12 20:05:18 INFO  Executor:54 - Running task 0.0 in stage 0.0 (TID 0)
2024-04-12 20:05:18 INFO  Executor:54 - Fetching spark://10.0.0.154:53057/jars/assignments-1.0.jar with timestamp 1712966712790
2024-04-12 20:05:18 INFO  TransportClientFactory:267 - Successfully created connection to /10.0.0.154:53057 after 35 ms (0 ms spent in bootstraps)
2024-04-12 20:05:18 INFO  Utils:54 - Fetching spark://10.0.0.154:53057/jars/assignments-1.0.jar to /private/var/folders/jp/l319lw651tb48gz1j9rnkrjm0000gn/T/spark-7abc7798-023c-4602-b3eb-e0c2f3e417dd/userFiles-2975bf9e-5126-445f-8dd1-b5a0ccd96918/fetchFileTemp7161147041944033212.tmp
2024-04-12 20:05:18 INFO  Executor:54 - Adding file:/private/var/folders/jp/l319lw651tb48gz1j9rnkrjm0000gn/T/spark-7abc7798-023c-4602-b3eb-e0c2f3e417dd/userFiles-2975bf9e-5126-445f-8dd1-b5a0ccd96918/assignments-1.0.jar to class loader
2024-04-12 20:05:18 INFO  FileScanRDD:54 - Reading File path: file:///Users/rithickumar/Desktop/Waterloo_MS/Winter_2024/CS_651/bigdata2024w/project-q1-vectors/part-00000, range: 0-57073876, partition values: [empty row]
2024-04-12 20:05:18 INFO  CodeGenerator:54 - Code generated in 24.234708 ms
2024-04-12 20:05:19 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 1509 bytes result sent to driver
2024-04-12 20:05:19 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 1329 ms on localhost (executor driver) (1/1)
2024-04-12 20:05:19 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2024-04-12 20:05:19 INFO  DAGScheduler:54 - ResultStage 0 (csv at kmeans.scala:55) finished in 1.474 s
2024-04-12 20:05:19 INFO  DAGScheduler:54 - Job 0 finished: csv at kmeans.scala:55, took 1.520131 s
2024-04-12 20:05:19 INFO  FileSourceStrategy:54 - Pruning directories with: 
2024-04-12 20:05:19 INFO  FileSourceStrategy:54 - Post-Scan Filters: 
2024-04-12 20:05:19 INFO  FileSourceStrategy:54 - Output Data Schema: struct<value: string>
2024-04-12 20:05:19 INFO  FileSourceScanExec:54 - Pushed Filters: 
2024-04-12 20:05:19 INFO  CodeGenerator:54 - Code generated in 16.800542 ms
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 14
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 20
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 22
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 8
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 23
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 26
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 15
2024-04-12 20:05:19 INFO  BlockManagerInfo:54 - Removed broadcast_1_piece0 on 10.0.0.154:53058 in memory (size: 4.5 KB, free: 366.3 MB)
2024-04-12 20:05:19 INFO  MemoryStore:54 - Block broadcast_2 stored as values in memory (estimated size 277.7 KB, free 365.7 MB)
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 12
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 17
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 7
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 10
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 19
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 30
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 13
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 27
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 28
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 29
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 11
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 16
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 6
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 21
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 9
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 24
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 25
2024-04-12 20:05:19 INFO  ContextCleaner:54 - Cleaned accumulator 18
2024-04-12 20:05:19 INFO  MemoryStore:54 - Block broadcast_2_piece0 stored as bytes in memory (estimated size 23.5 KB, free 365.7 MB)
2024-04-12 20:05:19 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on 10.0.0.154:53058 (size: 23.5 KB, free: 366.3 MB)
